feature_id	mz	rtime
Cluster_0141	201.1126486	17.54583655
Cluster_0142	201.1122429	17.66477341
Cluster_0143	201.1135577	17.88157843
Cluster_0144	201.1128549	17.98240321
Cluster_0145	201.1133669	18.062198
Cluster_0146	201.1127863	18.13998383
Cluster_0147	201.1126567	18.26406908
Cluster_0148	201.1131691	18.3684873
Cluster_0149	201.1125127	18.50126894
Cluster_0150	201.1126366	18.79584662
Cluster_0151	201.1136228	18.90599004
Cluster_0152	201.1128165	18.97197572
Cluster_0153	201.1127765	19.02968983
Cluster_0154	201.1130054	19.14854489
Cluster_0155	201.1128976	19.3212447
Cluster_0156	201.1129109	19.44284019
Cluster_0157	201.1132246	19.62752274
Cluster_0158	201.1126074	20.04042703
Cluster_0159	201.1134019	20.18325555
Cluster_0160	201.1139218	20.33719088
Cluster_0161	201.1147537	20.60659436
Cluster_0162	201.1119271	20.75680115
Cluster_0163	201.1129101	20.92829568
Cluster_0164	201.1125318	21.12980794
Cluster_0165	201.1131293	21.49012458
Cluster_0166	201.1124213	22.02131062
Cluster_0167	201.1123615	22.16520477
Cluster_0168	201.1112535	22.44455989
Cluster_0169	201.1126432	22.55384368
Cluster_0170	201.1119284	22.69969456
Cluster_0171	201.112122	22.84960991
Cluster_0172	201.11224	22.99123114
Cluster_0173	201.1108602	23.21760454
Cluster_0174	201.1123312	23.44815209
Cluster_0175	201.1121596	23.53442496
Cluster_0176	201.1120718	23.86937332
Cluster_0177	201.1120568	24.15939808
Cluster_0178	201.111271	24.21067091
Cluster_0179	201.1126454	24.48509343
Cluster_0180	201.1117971	24.97326522
Cluster_0181	204.0884396	6.106278533
Cluster_0182	205.1438875	1.610130098
Cluster_0183	218.1394981	0.391294492
Cluster_0184	218.1392884	0.451114917
Cluster_0185	218.139913	1.168010748
Cluster_0186	218.1401209	1.309226403
Cluster_0187	218.1404085	1.479766263
Cluster_0188	218.1397116	1.567283098
Cluster_0189	218.1404632	1.74691145
Cluster_0190	218.1408219	1.848811826
Cluster_0191	218.1387286	1.922475121
Cluster_0192	218.1401686	2.006121408
Cluster_0193	218.1395921	2.211248656
Cluster_0194	218.1392445	2.393372458
Cluster_0195	218.1395256	2.467437802
Cluster_0196	218.1393309	2.571267446
Cluster_0197	218.1388783	2.668200085
Cluster_0198	218.1393771	2.733280618
Cluster_0199	218.1386738	2.855275823
Cluster_0200	218.1392555	3.057381065
Cluster_0201	218.139066	3.161134811
Cluster_0202	218.1404707	3.258788359
Cluster_0203	218.1386799	3.32709819
Cluster_0204	218.1405158	3.420057405
