headgroup	name	exactmass	formula	chain_type
M(IP)2C	M(IP)2C 46:2;O3	1365.7703	C64H121NO25P2	even
M(IP)2C	M(IP)2C 46:2;O4	1381.765215	C64H121NO26P2	even
M(IP)2C	M(IP)2C 46:2;O5	1397.76013	C64H121NO27P2	even
M(IP)2C	M(IP)2C 46:2;O6	1413.755045	C64H121NO28P2	even
M(IP)2C	M(IP)2C 46:3;O2	1347.759735	C64H119NO24P2	even
M(IP)2C	M(IP)2C 46:3;O3	1363.75465	C64H119NO25P2	even
M(IP)2C	M(IP)2C 46:3;O4	1379.749565	C64H119NO26P2	even
M(IP)2C	M(IP)2C 46:3;O5	1395.74448	C64H119NO27P2	even
M(IP)2C	M(IP)2C 46:3;O6	1411.739395	C64H119NO28P2	even
M(IP)2C	M(IP)2C 46:4;O2	1345.744085	C64H117NO24P2	even
M(IP)2C	M(IP)2C 46:4;O3	1361.739	C64H117NO25P2	even
M(IP)2C	M(IP)2C 46:4;O4	1377.733915	C64H117NO26P2	even
M(IP)2C	M(IP)2C 46:4;O5	1393.72883	C64H117NO27P2	even
M(IP)2C	M(IP)2C 46:4;O6	1409.723745	C64H117NO28P2	even
M(IP)2C	M(IP)2C 46:5;O2	1343.728435	C64H115NO24P2	even
M(IP)2C	M(IP)2C 46:5;O3	1359.72335	C64H115NO25P2	even
M(IP)2C	M(IP)2C 46:5;O4	1375.718265	C64H115NO26P2	even
M(IP)2C	M(IP)2C 46:5;O5	1391.71318	C64H115NO27P2	even
M(IP)2C	M(IP)2C 46:5;O6	1407.708095	C64H115NO28P2	even
M(IP)2C	M(IP)2C 46:6;O2	1341.712785	C64H113NO24P2	even
M(IP)2C	M(IP)2C 46:6;O3	1357.7077	C64H113NO25P2	even
M(IP)2C	M(IP)2C 46:6;O4	1373.702615	C64H113NO26P2	even
M(IP)2C	M(IP)2C 46:6;O5	1389.69753	C64H113NO27P2	even
M(IP)2C	M(IP)2C 46:6;O6	1405.692445	C64H113NO28P2	even
M(IP)2C	M(IP)2C 47:0;O2	1367.822335	C65H127NO24P2	odd
M(IP)2C	M(IP)2C 47:0;O3	1383.81725	C65H127NO25P2	odd
M(IP)2C	M(IP)2C 47:0;O4	1399.812165	C65H127NO26P2	odd
M(IP)2C	M(IP)2C 47:0;O5	1415.80708	C65H127NO27P2	odd
M(IP)2C	M(IP)2C 47:0;O6	1431.801995	C65H127NO28P2	odd
M(IP)2C	M(IP)2C 47:1;O2	1365.806685	C65H125NO24P2	odd
M(IP)2C	M(IP)2C 47:1;O3	1381.8016	C65H125NO25P2	odd
M(IP)2C	M(IP)2C 47:1;O4	1397.796515	C65H125NO26P2	odd
M(IP)2C	M(IP)2C 47:1;O5	1413.79143	C65H125NO27P2	odd
M(IP)2C	M(IP)2C 47:1;O6	1429.786345	C65H125NO28P2	odd
M(IP)2C	M(IP)2C 47:2;O2	1363.791035	C65H123NO24P2	odd
M(IP)2C	M(IP)2C 47:2;O3	1379.78595	C65H123NO25P2	odd
M(IP)2C	M(IP)2C 47:2;O4	1395.780865	C65H123NO26P2	odd
M(IP)2C	M(IP)2C 47:2;O5	1411.77578	C65H123NO27P2	odd
M(IP)2C	M(IP)2C 47:2;O6	1427.770695	C65H123NO28P2	odd
M(IP)2C	M(IP)2C 47:3;O2	1361.775385	C65H121NO24P2	odd
M(IP)2C	M(IP)2C 47:3;O3	1377.7703	C65H121NO25P2	odd
M(IP)2C	M(IP)2C 47:3;O4	1393.765215	C65H121NO26P2	odd
M(IP)2C	M(IP)2C 47:3;O5	1409.76013	C65H121NO27P2	odd
M(IP)2C	M(IP)2C 47:3;O6	1425.755045	C65H121NO28P2	odd
